Reaction ID,EC#,Uncertainty,dG0,Reagents,Products
R12342,2.7.1.226,0.4,-17.4,"['C00008 ', ' C00065 ']","[' C00020 ', ' C01005']"
R01291,4.4.1.21,2.7,-33.0,['C03539 '],"[' C11838 ', ' C00155']"
R07274,"2.5.1.47,2.5.1.65",4.0,-35.0,"['C01005 ', ' C00283 ']","[' C00097 ', ' C00009']"
R00586,2.3.1.30,2.9,-6.4,"['C00065 ', ' C00024 ']","[' C00979 ', ' C00010']"
R01290,4.2.1.22,2.7,-13.3,"['C00065 ', ' C00155 ']","[' C02291 ', ' C00001']"
R00177,2.5.1.6,100000.0,0.0,"['C00002 ', ' C00073 ', ' C00001 ']","[' C00009 ', ' C00013 ', ' C00019']"
R11634,1.1.98.6,5.0,-65.0,"['C00002 ', ' C00058 ']","[' C00131 ', ' C00011 ', ' C00001']"
R11633,1.1.98.6,4.0,-59.0,"['C00044 ', ' C00058 ']","[' C00286 ', ' C00011 ', ' C00001']"
R11636,1.1.98.6,4.0,-60.0,"['C00063 ', ' C00058 ']","[' C00458 ', ' C00011 ', ' C00001']"
R02100,"3.6.1.23,3.6.1.-",2.6,-55.8,"['C00460 ', ' C00001 ']","[' C00365 ', ' C00013']"
R02325,3.5.4.13,2.0,-47.4,"['C00458 ', ' C00001 ']","[' C00460 ', ' C00014']"
R02101,2.1.1.45,2.9,-45.2,"['C00365 ', ' C00143 ']","[' C00415 ', ' C00364']"
R02094,"2.7.4.9,2.7.4.12",2.9,-1.5,"['C00002 ', ' C00364 ']","[' C00008 ', ' C00363']"
R02093,2.7.4.6,2.6,0.0,"['C00002 ', ' C00363 ']","[' C00008 ', ' C00459']"
R09399,6.3.2.31,2.8,-24.7,"['C19153 ', ' C00044 ', ' C00025 ']","[' C19152 ', ' C00035 ', ' C00009']"
R09400,6.3.2.34,4.0,-31.0,"['C19152 ', ' C00044 ', ' C00025 ']","[' C00876 ', ' C00035 ', ' C00009']"
R09397,2.7.7.68,2.1,-7.1,"['C19156 ', ' C00044 ']","[' C19155 ', ' C00013']"
R12161,2.5.1.147,,,"['C04732 ', ' C00082 ', ' C00019 ']","[' C21971 ', ' C15809 ', ' C00073 ', ' C05198']"
R12162,4.3.1.32,,,"['C21971 ', ' C00019 ']","[' C19154 ', ' C00014 ', ' C00073 ', ' C05198']"
R09398,2.7.8.28,70000.0,0.0,"['C19154 ', ' C19155 ']","[' C19153 ', ' C00144']"
R00084,2.5.1.61,9.0,-152.0,"['4 C00931 ', ' C00001 ']","[' C01024 ', ' 4 C00014']"
R00036,4.2.1.24,4.0,-85.0,['2 C00430 '],"[' C00931 ', ' 2 C00001']"
R02272,5.4.3.8,0.7,-9.1,['C03741 '],[' C00430']
R11626,4.99.1.11,,,"['C05778 ', ' C19609 ']","[' C21510 ', ' 2 C00080']"
R11627,6.3.5.12,,,"['C21510 ', ' 2 C00002 ', ' 2 C00064 ', ' 2 C00001 ']","[' C21511 ', ' 2 C00008 ', ' 2 C00025 ', ' 2 C00009']"
R11628,6.3.3.7,,,"['C00002 ', ' C21511 ', ' 3 C00030 ', ' C00001 ']","[' C00008 ', ' C00009 ', ' C21512 ', ' 3 C00028']"
R11629,6.4.1.9,,,"['C21512 ', ' C00002 ']","[' C05777 ', ' C00008 ', ' C00009']"
R05578,"6.1.1.17,6.1.1.24",,,"['C01641 ', ' C00025 ', ' C00002 ']","[' C02987 ', ' C00013 ', ' C00020']"
R04109,1.2.1.70,,,"['C02987 ', ' C00005 ', ' C00080 ']","[' C03741 ', ' C01641 ', ' C00006']"
R03165,4.2.1.75,400000.0,0.0,['C01024 '],"[' C01051 ', ' C00001']"
R03194,2.1.1.107,290000.0,0.0,"['2 C00019 ', ' C01051 ']","[' 2 C00021 ', ' C02463']"
R03947,1.3.1.76,100000.0,0.0,"['C02463 ', ' C00003 ']","[' C05778 ', ' C00004 ', ' C00080']"
R07281,4.1.99.12,2.1,-103.5,['C00199 '],"[' C15556 ', ' C00058']"
R04457,2.5.1.78,8.0,-97.0,"['C04732 ', ' C15556 ']","[' C04332 ', ' 2 C00001 ', ' C00009']"
R00549,2.7.1.26,2.9,-11.1,"['C00002 ', ' C00255 ']","[' C00008 ', ' C00061']"
R00066,2.5.1.9,8.0,-99.0,['2 C04332 '],"[' C00255 ', ' C04732']"
R07280,3.1.3.104,1.2,-32.5,"['C04454 ', ' C00001 ']","[' C04732 ', ' C00009']"
R00161,2.7.7.2,4.0,-12.0,"['C00002 ', ' C00061 ']","[' C00013 ', ' C00016']"
R03458,1.1.1.193,1.7,-27.5,"['C01268 ', ' C00005 ', ' C00080 ']","[' C04454 ', ' C00006']"
R03459,3.5.4.26,70000.0,0.0,"['C01304 ', ' C00001 ']","[' C01268 ', ' C00014']"
R00947,3.1.3.10,1.4,-32.5,"['C00103 ', ' C00001 ']","[' C00267 ', ' C00009']"
R01788,3.1.3.9,1.9,-33.3,"['C00668 ', ' C00001 ']","[' C00267 ', ' C00009']"
R01070,4.1.2.13,2.3,-4.7,"['C00111 ', ' C00118 ']",[' C05378']
R04780,3.1.3.11,1.2,-26.1,"['C05378 ', ' C00001 ']","[' C05345 ', ' C00009']"
R00341,4.1.1.49,3.1,-7.1,"['C00002 ', ' C00036 ']","[' C00008 ', ' C00074 ', ' C00011']"
R01518,"5.4.2.11,5.4.2.12",0.4,-4.5,['C00631 '],[' C00197']
R01015,5.3.1.1,0.5,-5.6,['C00118 '],[' C00111']
R00431,4.1.1.32,3.4,-4.3,"['C00044 ', ' C00036 ']","[' C00035 ', ' C00074 ', ' C00011']"
R00658,4.2.1.11,0.3,3.8,"['C00074 ', ' C00001 ']",[' C00631']
R00959,"5.4.2.2,5.4.2.5",2.1,-0.8,['C00668 '],[' C00103']
R01512,2.7.2.3,0.4,19.3,"['C00002 ', ' C00197 ']","[' C00008 ', ' C00236']"
R01061,"1.2.1.12,1.2.1.59",0.4,-21.1,"['C00236 ', ' C00004 ', ' C00080 ']","[' C00118 ', ' C00009 ', ' C00003']"
R01063,"1.2.1.13,1.2.1.59",0.5,-20.9,"['C00236 ', ' C00005 ', ' C00080 ']","[' C00118 ', ' C00009 ', ' C00006']"
R01602,5.1.3.3,0.0,0.0,['C00267 '],[' C00221']
R00243,"1.4.1.2,1.4.1.3,1.4.1.14",0.28,-18.19,"['C00026 ', ' C00014 ', ' C00004 ', ' C00080 ']","[' C00025 ', ' C00003 ', ' C00001']"
R00248,"1.4.1.3,1.4.1.4,1.4.1.13",0.4,-18.0,"['C00026 ', ' C00014 ', ' C00005 ', ' C00080 ']","[' C00025 ', ' C00006 ', ' C00001']"
R00253,6.3.1.2,0.8,-13.7,"['C00002 ', ' C00025 ', ' C00014 ']","[' C00008 ', ' C00009 ', ' C00064']"
R01465,1.1.1.103,2.7,25.7,"['C00188 ', ' C00003 ']","[' C03508 ', ' C00004 ', ' C00080']"
R00751,"4.1.2.5,4.1.2.48",2.2,-7.4,['C00188 '],"[' C00037 ', ' C00084']"
R00372,"2.6.1.4,2.6.1.44",1.6,-8.6,"['C00048 ', ' C00025 ']","[' C00037 ', ' C00026']"
R03758,1.1.1.381,3.1,-36.3,['C03508 '],"[' C01888 ', ' C00011']"
R00945,2.1.2.1,1.2,-6.8,"['C00101 ', ' C00065 ']","[' C00143 ', ' C00037 ', ' C00001']"
R00371,2.3.1.29,2.1,34.2,"['C00024 ', ' C00037 ']","[' C00010 ', ' C03508']"
R03759,1.1.1.75,1.0,-17.4,"['C01888 ', ' C00004 ', ' C00080 ']","[' C03194 ', ' C00003']"
