ID	Info	Cofactors	Codes	
R_R09777	[('dG0', 'nan'), ('dG0_uncertainty', 'nan'), ('ec-code', '1.2.1.-'), ('kegg-reaction', 'R09777')]			
R_R09779	[('dG0', 'nan'), ('dG0_uncertainty', 'nan'), ('ec-code', '-'), ('kegg-reaction', 'R09779')]			
R_R03314	[('dG0', '-5.0'), ('dG0_uncertainty', '5.0'), ('ec-code', '-'), ('kegg-reaction', 'R03314')]			
R_R04621	[('dG0', '-26.3'), ('dG0_uncertainty', '2.7'), ('ec-code', '3.6.1.-'), ('kegg-reaction', 'R04621')]			
R_RMAN1	[('dG0', 'nan'), ('dG0_uncertainty', 'nan'), ('ec-code', '-'), ('kegg-reaction', 'RMAN1')]			
R_R01214_1	[('dG0', '-1.8'), ('dG0_uncertainty', '3.5'), ('ec-code', '-'), ('kegg-reaction', 'R01214_1')]			
R_R10935	[('dG0', '0.0'), ('dG0_uncertainty', '100000.0'), ('ec-code', '-'), ('kegg-reaction', 'R10935')]			
R_R11038	[('dG0', '-0.4'), ('dG0_uncertainty', '2.0'), ('ec-code', '-'), ('kegg-reaction', 'R11038')]			
R_R11039	[('dG0', '4.6'), ('dG0_uncertainty', '1.3'), ('ec-code', '-'), ('kegg-reaction', 'R11039')]			
R_R00736	[('dG0', '-87.0'), ('dG0_uncertainty', '5.0'), ('ec-code', '-'), ('kegg-reaction', 'R00736')]			
R_R10902	[('dG0', '-23.1'), ('dG0_uncertainty', '2.4'), ('ec-code', '-'), ('kegg-reaction', 'R10902')]			
R_R11040	[('dG0', '-70.0'), ('dG0_uncertainty', '5.0'), ('ec-code', '-'), ('kegg-reaction', 'R11040')]			
R_RMAN4	[('dG0', '-5.0'), ('dG0_uncertainty', '4.0'), ('ec-code', '1.17.98.-'), ('kegg-reaction', 'R12754')]			
R_RMAN17	[Oleate synthesis]			
